Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,13404,19635,68.3%,1305770,10296,1.027%,1.504%,2021-01-11
Basilicata,4619,11805,39.1%,556934,4695,0.829%,2.12%,2021-01-11
Calabria,12540,25630,48.9%,1924701,13183,0.652%,1.332%,2021-01-11
Campania,72103,73845,97.6%,5785861,31503,1.246%,1.276%,2021-01-11
Emilia-Romagna,76076,98475,77.3%,4467118,40502,1.703%,2.204%,2021-01-11
Friuli-Venezia Giulia,18628,26590,70.1%,1211357,11905,1.538%,2.195%,2021-01-11
Lazio,71575,94555,75.7%,5865544,30589,1.22%,1.612%,2021-01-11
Liguria,19353,33470,57.8%,1543127,10752,1.254%,2.169%,2021-01-11
Lombardia,83766,155670,53.8%,10103969,59164,0.829%,1.541%,2021-01-11
Marche,14489,17750,81.6%,1518400,13019,0.954%,1.169%,2021-01-11
Molise,3772,7850,48.1%,302265,2105,1.248%,2.597%,2021-01-11
P.A. Bolzano,6078,20620,29.5%,520891,5530,1.167%,3.959%,2021-01-11
P.A. Trento,7381,9850,74.9%,538223,5226,1.371%,1.83%,2021-01-11
Piemonte,57292,82810,69.2%,4341375,36596,1.32%,1.907%,2021-01-11
Puglia,36808,74605,49.3%,4008296,25601,0.918%,1.861%,2021-01-11
Sardegna,17158,19680,87.2%,1630474,15403,1.052%,1.207%,2021-01-11
Sicilia,66799,78685,84.9%,4968410,30801,1.344%,1.584%,2021-01-11
Toscana,49716,52295,95.1%,3722729,35651,1.335%,1.405%,2021-01-11
Umbria,10057,9835,102.3%,880285,8164,1.142%,1.117%,2021-01-11
Valle d'Aosta,1969,1970,99.9%,125501,1364,1.569%,1.57%,2021-01-11
Veneto,75214,77900,96.6%,4907704,39443,1.533%,1.587%,2021-01-11
Totale,718797,993525,72.348%,60228934,431492,1.193%,1.65%,2021-01-11
