Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Campania,78560,101145,77.7%,1305770,10296,6.016%,7.746%,2021-01-12
Umbria,10945,15685,69.8%,556934,4695,1.965%,2.816%,2021-01-12
Veneto,80440,116900,68.8%,1924701,13183,4.179%,6.074%,2021-01-12
Toscana,53394,80570,66.3%,5785861,31503,0.923%,1.393%,2021-01-12
Emilia-Romagna,84890,131625,64.5%,4467118,40502,1.9%,2.947%,2021-01-12
Abruzzo,15428,24510,62.9%,1211357,11905,1.274%,2.023%,2021-01-12
Marche,16182,27500,58.8%,5865544,30589,0.276%,0.469%,2021-01-12
Puglia,43520,74605,58.3%,1543127,10752,2.82%,4.835%,2021-01-12
Lazio,76895,132580,58.0%,10103969,59164,0.761%,1.312%,2021-01-12
Valle d'Aosta,2270,3920,57.9%,1518400,13019,0.149%,0.258%,2021-01-12
Friuli-Venezia Giulia,21215,37315,56.9%,302265,2105,7.019%,12.345%,2021-01-12
Sicilia,69448,125485,55.3%,520891,5530,13.333%,24.09%,2021-01-12
Sardegna,18325,33330,55.0%,538223,5226,3.405%,6.193%,2021-01-12
Piemonte,67333,123760,54.4%,4341375,36596,1.551%,2.851%,2021-01-12
P.A. Trento,8204,15700,52.3%,4008296,25601,0.205%,0.392%,2021-01-12
Molise,4120,8825,46.7%,1630474,15403,0.253%,0.541%,2021-01-12
Liguria,21989,47120,46.7%,4968410,30801,0.443%,0.948%,2021-01-12
Lombardia,101358,234645,43.2%,3722729,35651,2.723%,6.303%,2021-01-12
Basilicata,4787,11805,40.6%,880285,8164,0.544%,1.341%,2021-01-12
P.A. Bolzano,7746,20620,37.6%,125501,1364,6.172%,16.43%,2021-01-12
Calabria,13681,39280,34.8%,4907704,39443,0.279%,0.8%,2021-01-12
Totale,800730,1406925,56.913%,60228934,431492,1.329%,2.336%,2021-01-12
