Regioni,Somministrazioni,Dosi consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Abruzzo,135,7.935,1.7%,1305770,0.01%,0.608%,2020-01-01
Basilicata,105,4.980,2.1%,556934,0.019%,0.894%,2020-01-01
Calabria,279,12.955,2.2%,1924701,0.014%,0.673%,2020-01-01
Campana,3.111,33.870,9.2%,5785861,0.054%,0.585%,2020-01-01
Emilia-Romagna,3.161,43.875,7.2%,4467118,0.071%,0.982%,2020-01-01
Friui-Venezia Gulia,1.948,11.965,16.3%,1211357,0.161%,0.988%,2020-01-01
Lazio,9.301,45.805,20.3%,5865544,0.159%,0.781%,2020-01-01
Liguria,1.269,15.920,8.0%,1543127,0.082%,1.032%,2020-01-01
Lombardia,2.171,80.595,2.7%,10103969,0.021%,0.798%,2020-01-01
Marche,499,8.975,5.6%,1518400,0.033%,0.591%,2020-01-01
Molise,50,2.975,1.7%,302265,0.017%,0.984%,2020-01-01
P.A. Bolzano,971,5.995,16.2%,520891,0.186%,1.151%,2020-01-01
P.A. Trento,1.730,4.975,34.89%,538223,0.321%,0.924%,2020-01-01
Piemonte,6.024,40.885,14.7%,4341375,0.139%,0.942%,2020-01-01
Puglia,1.884,25.855,7.3%,4008296,0.047%,0.645%,2020-01-01
Sardegna,242,12.855,1.9%,1630474,0.015%,0.788%,2020-01-01
Sicilia,2.471,46.510,5.3%,4968410,0.05%,0.936%,2020-01-01
Toscana,3.579,27.920,12.8%,3722729,0.096%,0.75%,2020-01-01
Umbria,676,4.960,13.6%,880285,0.077%,0.563%,2020-01-01
Valle d'Aosta,20,995,2.0%,125501,0.016%,0.793%,2020-01-01
Veneto,6.041,38.900,15.5%,4907704,0.123%,0.793%,2020-01-01
Totale,45667,479700,9.52%,60228934,0.076%,0.796%,2020-01-01
