Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,2741,7935,34.5%,1305770,10296,0.21%,0.608%,2020-01-05
Basilicata,2109,4980,42.3%,556934,4695,0.379%,0.894%,2020-01-05
Calabria,701,12955,5.4%,1924701,13183,0.036%,0.673%,2020-01-05
Campania,16602,33870,49.0%,5785861,31503,0.287%,0.585%,2020-01-05
Emilia-Romagna,15088,43875,34.4%,4467118,40502,0.338%,0.982%,2020-01-05
Friuli-Venezia Giulia,4963,11965,41.5%,1211357,11905,0.41%,0.988%,2020-01-05
Lazio,29217,45805,63.8%,5865544,30589,0.498%,0.781%,2020-01-05
Liguria,5293,15920,33.2%,1543127,10752,0.343%,1.032%,2020-01-05
Lombardia,9821,80595,12.2%,10103969,59164,0.097%,0.798%,2020-01-05
Marche,2984,8975,33.2%,1518400,13019,0.197%,0.591%,2020-01-05
Molise,358,2975,12.0%,302265,2105,0.118%,0.984%,2020-01-05
P.A. Bolzano,1490,5995,24.9%,520891,5530,0.286%,1.151%,2020-01-05
P.A. Trento,3367,4975,67.7%,538223,5226,0.626%,0.924%,2020-01-05
Piemonte,17795,40885,43.5%,4341375,36596,0.41%,0.942%,2020-01-05
Puglia,10371,25855,40.1%,4008296,25601,0.259%,0.645%,2020-01-05
Sardegna,965,12855,7.5%,1630474,15403,0.059%,0.788%,2020-01-05
Sicilia,19064,46510,41.0%,4968410,30801,0.384%,0.936%,2020-01-05
Toscana,15644,27920,56.0%,3722729,35651,0.42%,0.75%,2020-01-05
Umbria,2057,4960,41.5%,880285,8164,0.234%,0.563%,2020-01-05
Valle d'Aosta,186,995,18.7%,125501,1364,0.148%,0.793%,2020-01-05
Veneto,21626,38900,55.6%,4907704,39443,0.441%,0.793%,2020-01-05
Totale,182442,479700,38.033%,60228934,431492,0.303%,0.796%,2020-01-05
