Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Campania,86598,101145,85.6%,1305770,10296,6.632%,7.746%,2021-01-13
Veneto,85600,116900,73.2%,556934,4695,15.37%,20.99%,2021-01-13
Umbria,11449,15685,73.0%,1924701,13183,0.595%,0.815%,2021-01-13
Toscana,57223,80570,71.0%,5785861,31503,0.989%,1.393%,2021-01-13
Emilia-Romagna,93008,131625,70.7%,4467118,40502,2.082%,2.947%,2021-01-13
Abruzzo,16915,24510,69.0%,1211357,11905,1.396%,2.023%,2021-01-13
Valle d'Aosta,2602,3920,66.4%,5865544,30589,0.044%,0.067%,2021-01-13
Sicilia,79889,125485,63.7%,1543127,10752,5.177%,8.132%,2021-01-13
Marche,17494,27500,63.6%,10103969,59164,0.173%,0.272%,2021-01-13
Friuli-Venezia Giulia,23420,37315,62.8%,1518400,13019,1.542%,2.458%,2021-01-13
Piemonte,77651,123760,62.7%,302265,2105,25.69%,40.944%,2021-01-13
Lazio,81911,132580,61.8%,520891,5530,15.725%,25.453%,2021-01-13
Puglia,43781,74605,58.7%,538223,5226,8.134%,13.861%,2021-01-13
Sardegna,18897,33330,56.7%,4341375,36596,0.435%,0.768%,2021-01-13
Liguria,24695,47120,52.4%,4008296,25601,0.616%,1.176%,2021-01-13
Lombardia,122759,234645,52.3%,1630474,15403,7.529%,14.391%,2021-01-13
P.A. Trento,8204,15700,52.3%,4968410,30801,0.165%,0.316%,2021-01-13
Molise,4532,8825,51.4%,3722729,35651,0.122%,0.237%,2021-01-13
P.A. Bolzano,9487,20620,46.0%,880285,8164,1.078%,2.342%,2021-01-13
Basilicata,5744,13755,41.8%,125501,1364,4.577%,10.96%,2021-01-13
Calabria,13955,39280,35.5%,4907704,39443,0.284%,0.8%,2021-01-13
Totale,885814,1408875,62.874%,60228934,431492,1.471%,2.339%,2021-01-13
