Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,7713,15735,49.0%,1305770,10296,0.591%,1.205%,2021-01-07
Basilicata,3678,7905,46.5%,556934,4695,0.66%,1.419%,2021-01-07
Calabria,5603,25630,21.9%,1924701,13183,0.291%,1.332%,2021-01-07
Campania,40121,67020,59.9%,5785861,31503,0.693%,1.158%,2021-01-07
Emilia-Romagna,41790,87750,47.6%,4467118,40502,0.936%,1.964%,2021-01-07
Friuli-Venezia Giulia,9381,24640,38.1%,1211357,11905,0.774%,2.034%,2021-01-07
Lazio,49450,87730,56.4%,5865544,30589,0.843%,1.496%,2021-01-07
Liguria,13083,30545,42.8%,1543127,10752,0.848%,1.979%,2021-01-07
Lombardia,34417,153720,22.4%,10103969,59164,0.341%,1.521%,2021-01-07
Marche,9012,17750,50.8%,1518400,13019,0.594%,1.169%,2021-01-07
Molise,2075,4925,42.1%,302265,2105,0.686%,1.629%,2021-01-07
P.A. Bolzano,3061,6970,43.9%,520891,5530,0.588%,1.338%,2021-01-07
P.A. Trento,4357,16675,26.1%,538223,5226,0.81%,3.098%,2021-01-07
Piemonte,30602,82810,37.0%,4341375,36596,0.705%,1.907%,2021-01-07
Puglia,24734,48280,51.2%,4008296,25601,0.617%,1.205%,2021-01-07
Sardegna,6463,19680,32.8%,1630474,15403,0.396%,1.207%,2021-01-07
Sicilia,44211,78685,56.2%,4968410,30801,0.89%,1.584%,2021-01-07
Toscana,31349,52295,59.9%,3722729,35651,0.842%,1.405%,2021-01-07
Umbria,4919,9835,50.0%,880285,8164,0.559%,1.117%,2021-01-07
Valle d'Aosta,681,1970,34.6%,125501,1364,0.543%,1.57%,2021-01-07
Veneto,45919,77900,58.9%,4907704,39443,0.936%,1.587%,2021-01-07
Totale,412619,918450,44.926%,60228934,431492,0.685%,1.525%,2021-01-07
