Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,2498,7935,31.5%,1305770,10296,0.191%,0.608%,2021-01-04
Basilicata,2109,4980,42.3%,556934,4695,0.379%,0.894%,2021-01-04
Calabria,701,12955,5.4%,1924701,13183,0.036%,0.673%,2021-01-04
Campania,16337,33870,48.2%,5785861,31503,0.282%,0.585%,2021-01-04
Emilia-Romagna,15088,43875,34.4%,4467118,40502,0.338%,0.982%,2021-01-04
Friuli-Venezia Giulia,4963,11965,41.5%,1211357,11905,0.41%,0.988%,2021-01-04
Lazio,29002,45805,63.3%,5865544,30589,0.494%,0.781%,2021-01-04
Liguria,4875,15920,30.6%,1543127,10752,0.316%,1.032%,2021-01-04
Lombardia,9167,80595,11.4%,10103969,59164,0.091%,0.798%,2021-01-04
Marche,2385,8975,26.6%,1518400,13019,0.157%,0.591%,2021-01-04
Molise,50,2975,1.7%,302265,2105,0.017%,0.984%,2021-01-04
P.A. Bolzano,1490,5995,24.9%,520891,5530,0.286%,1.151%,2021-01-04
P.A. Trento,3367,4975,67.7%,538223,5226,0.626%,0.924%,2021-01-04
Piemonte,17473,40885,42.7%,4341375,36596,0.402%,0.942%,2021-01-04
Puglia,10251,25855,39.6%,4008296,25601,0.256%,0.645%,2021-01-04
Sardegna,965,12855,7.5%,1630474,15403,0.059%,0.788%,2021-01-04
Sicilia,18705,46510,40.2%,4968410,30801,0.376%,0.936%,2021-01-04
Toscana,15644,27920,56.0%,3722729,35651,0.42%,0.75%,2021-01-04
Umbria,2057,4960,41.5%,880285,8164,0.234%,0.563%,2021-01-04
Valle d'Aosta,186,995,18.7%,125501,1364,0.148%,0.793%,2021-01-04
Veneto,21626,38900,55.6%,4907704,39443,0.441%,0.793%,2021-01-04
Totale,178939,479700,37.302%,60228934,431492,0.297%,0.796%,2021-01-04
