Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,9429,15735,59.9%,1305770,10296,0.722%,1.205%,2021-01-09
Basilicata,4075,7905,51.5%,556934,4695,0.732%,1.419%,2021-01-09
Calabria,8280,25630,32.3%,1924701,13183,0.43%,1.332%,2021-01-09
Campania,50427,67020,75.2%,5785861,31503,0.872%,1.158%,2021-01-09
Emilia-Romagna,56756,87750,64.7%,4467118,40502,1.271%,1.964%,2021-01-09
Friuli-Venezia Giulia,11527,24640,46.8%,1211357,11905,0.952%,2.034%,2021-01-09
Lazio,56563,87730,64.5%,5865544,30589,0.964%,1.496%,2021-01-09
Liguria,16023,30545,52.5%,1543127,10752,1.038%,1.979%,2021-01-09
Lombardia,47313,153720,30.8%,10103969,59164,0.468%,1.521%,2021-01-09
Marche,10659,17750,60.1%,1518400,13019,0.702%,1.169%,2021-01-09
Molise,2509,4925,50.9%,302265,2105,0.83%,1.629%,2021-01-09
P.A. Bolzano,4525,13795,32.8%,520891,5530,0.869%,2.648%,2021-01-09
P.A. Trento,6925,9850,70.3%,538223,5226,1.287%,1.83%,2021-01-09
Piemonte,36526,82810,44.1%,4341375,36596,0.841%,1.907%,2021-01-09
Puglia,29650,48280,61.4%,4008296,25601,0.74%,1.205%,2021-01-09
Sardegna,9713,19680,49.4%,1630474,15403,0.596%,1.207%,2021-01-09
Sicilia,51667,78685,65.7%,4968410,30801,1.04%,1.584%,2021-01-09
Toscana,37213,52295,71.2%,3722729,35651,1.0%,1.405%,2021-01-09
Umbria,6142,9835,62.5%,880285,8164,0.698%,1.117%,2021-01-09
Valle d'Aosta,980,1970,49.7%,125501,1364,0.781%,1.57%,2021-01-09
Veneto,55922,77900,71.8%,4907704,39443,1.139%,1.587%,2021-01-09
Totale,512824,918450,55.836%,60228934,431492,0.851%,1.525%,2021-01-09
