Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,10835,15735,68.9%,1305770,10296,0.83%,1.205%,2021-01-10
Basilicata,4537,7905,57.4%,556934,4695,0.815%,1.419%,2021-01-10
Calabria,10061,25630,39.3%,1924701,13183,0.523%,1.332%,2021-01-10
Campania,60001,67020,89.5%,5785861,31503,1.037%,1.158%,2021-01-10
Emilia-Romagna,61570,87750,70.2%,4467118,40502,1.378%,1.964%,2021-01-10
Friuli-Venezia Giulia,13822,24640,56.1%,1211357,11905,1.141%,2.034%,2021-01-10
Lazio,62522,87730,71.3%,5865544,30589,1.066%,1.496%,2021-01-10
Liguria,16830,30545,55.1%,1543127,10752,1.091%,1.979%,2021-01-10
Lombardia,58454,153720,38.0%,10103969,59164,0.579%,1.521%,2021-01-10
Marche,12370,17750,69.7%,1518400,13019,0.815%,1.169%,2021-01-10
Molise,2958,4925,60.1%,302265,2105,0.979%,1.629%,2021-01-10
P.A. Bolzano,4795,13795,34.8%,520891,5530,0.921%,2.648%,2021-01-10
P.A. Trento,7117,9850,72.3%,538223,5226,1.322%,1.83%,2021-01-10
Piemonte,43068,82810,52.0%,4341375,36596,0.992%,1.907%,2021-01-10
Puglia,33887,48280,70.2%,4008296,25601,0.845%,1.205%,2021-01-10
Sardegna,13642,19680,69.3%,1630474,15403,0.837%,1.207%,2021-01-10
Sicilia,58584,78685,74.5%,4968410,30801,1.179%,1.584%,2021-01-10
Toscana,41800,52295,79.9%,3722729,35651,1.123%,1.405%,2021-01-10
Umbria,7832,9835,79.6%,880285,8164,0.89%,1.117%,2021-01-10
Valle d'Aosta,1423,1970,72.2%,125501,1364,1.134%,1.57%,2021-01-10
Veneto,63690,77900,81.8%,4907704,39443,1.298%,1.587%,2021-01-10
Totale,589798,918450,64.217%,60228934,431492,0.979%,1.525%,2021-01-10
