Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,4277,7935,53.9%,1305770,10296,0.328%,0.608%,2020-01-06
Basilicata,2871,4980,57.7%,556934,4695,0.516%,0.894%,2020-01-06
Calabria,2738,12955,21.1%,1924701,13183,0.142%,0.673%,2020-01-06
Campania,23648,33870,69.8%,5785861,31503,0.409%,0.585%,2020-01-06
Emilia-Romagna,23890,43875,54.5%,4467118,40502,0.535%,0.982%,2020-01-06
Friuli-Venezia Giulia,6585,11965,55.0%,1211357,11905,0.544%,0.988%,2020-01-06
Lazio,35793,45805,78.1%,5865544,30589,0.61%,0.781%,2020-01-06
Liguria,7897,15920,49.6%,1543127,10752,0.512%,1.032%,2020-01-06
Lombardia,17710,80595,22.0%,10103969,59164,0.175%,0.798%,2020-01-06
Marche,4877,8975,54.3%,1518400,13019,0.321%,0.591%,2020-01-06
Molise,806,2975,27.1%,302265,2105,0.267%,0.984%,2020-01-06
P.A. Bolzano,2343,5995,39.1%,520891,5530,0.45%,1.151%,2020-01-06
P.A. Trento,4315,4975,86.7%,538223,5226,0.802%,0.924%,2020-01-06
Piemonte,22691,40885,55.5%,4341375,36596,0.523%,0.942%,2020-01-06
Puglia,16105,25855,62.3%,4008296,25601,0.402%,0.645%,2020-01-06
Sardegna,2213,12855,17.2%,1630474,15403,0.136%,0.788%,2020-01-06
Sicilia,29258,46510,62.9%,4968410,30801,0.589%,0.936%,2020-01-06
Toscana,20971,27920,75.1%,3722729,35651,0.563%,0.75%,2020-01-06
Umbria,2913,4960,58.7%,880285,8164,0.331%,0.563%,2020-01-06
Valle d'Aosta,336,995,33.8%,125501,1364,0.268%,0.793%,2020-01-06
Veneto,28711,38900,73.8%,4907704,39443,0.585%,0.793%,2020-01-06
Totale,260948,479700,54.398%,60228934,431492,0.433%,0.796%,2020-01-06
