Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,5835,11835,49.3%,1305770,10296,0.447%,0.906%,2021-01-06
Basilicata,3091,7905,39.1%,556934,4695,0.555%,1.419%,2021-01-06
Calabria,3925,25630,15.3%,1924701,13183,0.204%,1.332%,2021-01-06
Campania,29662,57270,51.8%,5785861,31503,0.513%,0.99%,2021-01-06
Emilia-Romagna,31786,59475,53.4%,4467118,40502,0.712%,1.331%,2021-01-06
Friuli-Venezia Giulia,7293,19765,36.9%,1211357,11905,0.602%,1.632%,2021-01-06
Lazio,41242,61405,67.2%,5865544,30589,0.703%,1.047%,2021-01-06
Liguria,9109,28595,31.9%,1543127,10752,0.59%,1.853%,2021-01-06
Lombardia,23641,109845,21.5%,10103969,59164,0.234%,1.087%,2021-01-06
Marche,6984,15800,44.2%,1518400,13019,0.46%,1.041%,2021-01-06
Molise,1473,4925,29.9%,302265,2105,0.487%,1.629%,2021-01-06
P.A. Bolzano,2343,6970,33.6%,520891,5530,0.45%,1.338%,2021-01-06
P.A. Trento,4315,6925,62.3%,538223,5226,0.802%,1.287%,2021-01-06
Piemonte,25690,61360,41.9%,4341375,36596,0.592%,1.413%,2021-01-06
Puglia,19191,31705,60.5%,4008296,25601,0.479%,0.791%,2021-01-06
Sardegna,3635,19680,18.5%,1630474,15403,0.223%,1.207%,2021-01-06
Sicilia,35361,78685,44.9%,4968410,30801,0.712%,1.584%,2021-01-06
Toscana,25411,31820,79.9%,3722729,35651,0.683%,0.855%,2021-01-06
Umbria,3759,9835,38.2%,880285,8164,0.427%,1.117%,2021-01-06
Valle d'Aosta,402,1970,20.4%,125501,1364,0.32%,1.57%,2021-01-06
Veneto,36929,43775,84.4%,4907704,39443,0.752%,0.892%,2021-01-06
Totale,321077,695175,46.186%,60228934,431492,0.533%,1.154%,2021-01-06
